Position,Player,Matches,Innings,Not_out,Runs,Highest_Score,Average,Balls_faced,Strike_rate,Centuries,Half_centuaries,4's,6's,IPl_team,Role,year
97,Jagadeesan Narayan,2,2,1,40,39*,40,37,108.1,0,0,3,1,Chennai Super Kings,Bowler,2022
98,Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,3,Mumbai Indians,Bowler,2022
99,Wanindu Hasaranga,16,7,0,38,18,5.43,43,88.37,0,0,4,1,Royal Challengers Bangalore,Bowler,2022
100,Rishi Dhawan,6,4,2,37,21*,18.5,40,92.5,0,0,4,2,Punjab Kings,Bowler,2022
101,Daryl Mitchell,2,2,0,33,17,16.5,44,75,0,0,1,0,Rajasthan Royals,Bowler,2022
102,Sherfane Rutherford,3,2,0,33,28,16.5,50,66,0,0,1,1,Royal Challengers Bangalore,Bowler,2022
103,James Neesham,2,2,0,31,17,15.5,27,114.81,0,0,3,0,Rajasthan Royals,Bowler,2022
104,Mohammed Siraj,15,5,3,30,14*,15,33,90.9,0,0,5,0,Royal Challengers Bangalore,Bowler,2022
105,Tim Seifert,2,2,0,24,21,12,19,126.31,0,0,4,0,Delhi Capitals,Bowler,2022
106,Bhuvneshwar Kumar,14,6,3,24,8,8,26,92.3,0,0,3,0,Sunrises Hyderabad,Bowler,2022 
107,Mohsin Khan,9,3,2,23,13*,23,16,143.75,0,0,2,1,Lucknow Super Giants,Bowler,2022
108,Dwayne Bravo,10,6,4,23,12,11.5,24,95.83,0,0,1,1,Chennai Super Kings,Bowler,2022
109,Sheldon Jackson,5,5,1,23,8,5.75,26,88.46,0,0,0,1,Kolkata Knight Riders,Bowler,2022
110,Avesh Khan,13,4,3,22,12,22,13,169.23,0,0,0,3,Lucknow Super Giants,Bowler,2022
111,Rassie van der Dussen,3,3,1,22,12*,11,24,91.66,0,0,2,0,Rajasthan Royals,Bowler,2022
112,Harpreet Brar,5,3,0,22,14,7.33,25,88,0,0,1,2,Punjab Kings,Bowler,2022
113,Mitchell Santner,6,4,2,22,11,11,27,81.48,0,0,3,0,Chennai Super Kings,Bowler,2022
114,Arshdeep Singh,14,6,3,21,10*,7,29,72.41,0,0,3,0,Punjab Kings,Bowler,2022
115,B Indrajith,3,3,0,21,15,7,30,70,0,0,2,0,Kolkata Knight Riders,Bowler,2022
116,Manan Vohra,2,1,0,19,19,19,11,172.72,0,0,1,2,Lucknow Super Giants,Bowler,2022
117,Vijay Shankar,4,4,0,19,13,4.75,35,54.28,0,0,1,0,Gujarat Titans,All Rounder,2022
118,Mandeep Singh,3,3,0,18,18,6,23,78.26,0,0,4,0,Delhi Capitals,Bowler,2022
119,Josh Hazlewood,12,5,5,18,7*,0,26,69.23,0,0,1,0,Royal Challengers Bangalore,Bowler,2022
120,David Willey,4,2,0,18,18,9,30,60,0,0,3,0,Royal Challengers Bangalore,Bowler,2022
121,Karun Nair,3,2,0,16,13,8,18,88.88,0,0,1,0,Rajasthan Royals,Bowler,2022
122,Simran Singh,1,1,0,14,14,14,11,127.27,0,0,2,0,Punjab Kings,Bowler,2022
123,Anmolpreet Singh,2,2,0,13,8,6.5,13,100,0,0,1,0,Mumbai Indians,Bowler,2022
124,Murugan Ashwin,8,5,2,12,6,4,14,85.71,0,0,1,1,Mumbai Indians,Bowler,2022
125,Varun Chakaravarthy,11,4,4,12,10*,0,18,66.66,0,0,2,0,Kolkata Knight Riders,Bowler,2022
126,Chris Jordan,4,2,1,11,6*,11,8,137.5,0,0,0,0,Chennai Super Kings,Bowler,2022
127,Rajangad Bawa,2,2,0,11,11,5.5,14,78.57,0,0,1,0,Punjab Kings,Bowler,2022
128,Shreyas Gopal,1,1,1,9,9*,0,7,128.57,0,0,2,0,Sunrises Hyderabad,Bowler,2022
129,Marco Jansen,8,3,2,9,8*,9,7,128.57,0,0,0,1,Sunrises Hyderabad,Bowler,2022
130,Obed McCoy,7,1,0,8,8,8,5,160,0,0,0,1,Rajasthan Royals,Bowler,2022
131,Srikar Bharat,2,2,0,8,8,4,7,114.28,0,0,2,0,Delhi Capitals,Bowler,2022
132,Fabian Allen,1,1,0,8,8,8,7,114.28,0,0,1,0,Mumbai Indians,Bowler,2022
133,Sean Abbott,1,1,0,7,7,7,5,140,0,0,0,1,Sunrises Hyderabad,Bowler,2022
134,Rasikh Salam,2,1,0,7,7,7,6,116.66,0,0,1,0,Kolkata Knight Riders,Bowler,2022
135,Kartik Tyagi,2,2,0,7,7,3.5,6,116.66,0,0,1,0,Sunrises Hyderabad,Bowler,2022
136,Maheesh Theekshana,9,2,1,7,7*,7,7,100,0,0,0,1,Chennai Super Kings,Bowler,2022
137,Simarjeet Singh,6,3,2,7,3*,7,8,87.5,0,0,0,0,Chennai Super Kings,Bowler,2022
138,Ripal Patel,2,1,0,6,6,6,3,200,0,0,0,1,Delhi Capitals,Bowler,2022
139,Mukesh Choudhary,13,2,1,6,4,6,6,100,0,0,1,0,Chennai Super Kings,Bowler,2022
140,Prasidh Krishna,17,3,2,6,4*,6,12,50,0,0,0,0,Rajasthan Royals,Bowler,2022
141,Aman Khan,1,1,0,5,5,5,3,166.66,0,0,1,0,Kolkata Knight Riders,Bowler,2022
142,Lockie Ferguson,13,3,1,5,5,2.5,4,125,0,0,1,0,Gujarat Titans,Bowler,2022
143,Alzarri Joseph,9,3,2,5,4*,5,7,71.42,0,0,0,0,Gujarat Titans,Bowler,2022
144,Yuzvendra Chahal,17,2,1,5,5,5,8,62.5,0,0,0,0,Rajasthan Royals,Bowler,2022
145,Vaibhav Arora,5,4,2,5,2*,2.5,13,38.46,0,0,0,0,Punjab Kings,Bowler,2022
146,Prerak Mankad,1,1,1,4,4*,0,1,400,0,0,1,0,Punjab Kings,Bowler,2022
147,Karan Sharma,1,1,0,4,4,4,4,100,0,0,1,0,Royal Challengers Bangalore,Bowler,2022
148,Abdul Samad,2,2,0,4,4,2,7,57.14,0,0,0,0,Sunrises Hyderabad,Bowler,2022
149,Abhijeet Tomar,1,1,0,4,4,4,8,50,0,0,1,0,Kolkata Knight Riders,Bowler,2022
